sample_index,true_cfr_power,rms_scale,absolute_prediction_mse,existing_nmse_db,total_uncertainty,normalized_absolute_prediction_mse,normalized_nmse_db,normalized_total_uncertainty,aleatoric,epistemic,normalized_aleatoric,normalized_epistemic,regime
25,0.5679003596305847,0.7535916566848755,0.033656615763902664,-18.292631149291992,0.02050810679793358,0.059265002608299255,-18.292631149291992,0.03611215949058533,0.018324341624975204,0.0021837661042809486,0.032266825437545776,0.003845333121716976,ID-Easy 20 ns
26,1.2475841045379639,1.1169530153274536,0.07536052167415619,-18.21016502380371,0.02207191474735737,0.06040516123175621,-18.21016502380371,0.017691725865006447,0.019605478271842003,0.002466436242684722,0.015714755281805992,0.0019769698847085238,ID-Easy 20 ns
27,1.0296990871429443,1.0147409439086914,0.060884345322847366,-18.301481246948242,0.02398548647761345,0.059128280729055405,-18.301481246948242,0.023293687030673027,0.021181771531701088,0.002803715644404292,0.02057083696126938,0.002722849603742361,ID-Easy 20 ns
28,0.4894072711467743,0.6995764970779419,0.029505621641874313,-18.216880798339844,0.01987350918352604,0.060288477689027786,-18.216880798339844,0.040607303380966187,0.017717890441417694,0.002155619440600276,0.036202751100063324,0.004404551349580288,ID-Easy 20 ns
29,0.7541944980621338,0.8684437274932861,0.05316680669784546,-17.5399169921875,0.022256173193454742,0.07049482315778732,-17.539913177490234,0.029509859159588814,0.019747646525502205,0.002508527133613825,0.026183757930994034,0.0033261009957641363,ID-Easy 20 ns
30,1.949432134628296,1.3962206840515137,0.1272001564502716,-17.874738693237305,0.02924608439207077,0.06524985283613205,-17.874738693237305,0.015002360567450523,0.025968259200453758,0.0032778247259557247,0.01332093495875597,0.0016814253758639097,ID-Easy 20 ns
31,1.236194372177124,1.1118427515029907,0.07694366574287415,-18.080732345581055,0.02468680962920189,0.06224237382411957,-18.080732345581055,0.019970007240772247,0.02180919237434864,0.0028776174876838923,0.017642203718423843,0.002327803522348404,ID-Easy 20 ns
32,1.0160373449325562,1.0079867839813232,0.07489914447069168,-17.34423065185547,0.022560521960258484,0.0737169086933136,-17.34423065185547,0.02220442332327366,0.020016800612211227,0.002543722279369831,0.019700851291418076,0.002503571566194296,ID-Easy 20 ns
33,1.1640653610229492,1.0789185762405396,0.09435560554265976,-16.932636260986328,0.022502318024635315,0.08105697482824326,-16.932634353637695,0.01933080330491066,0.019844865426421165,0.002657451666891575,0.01704789698123932,0.0022829058580100536,ID-Easy 20 ns
34,0.9537686109542847,0.9766107797622681,0.057688601315021515,-18.204313278198242,0.025677474215626717,0.06048490107059479,-18.204313278198242,0.02692212164402008,0.022665446624159813,0.0030120278242975473,0.023764094337821007,0.003158027771860361,ID-Easy 20 ns
35,1.3366475105285645,1.1561347246170044,0.07802692800760269,-18.358848571777344,0.02595745027065277,0.058375097811222076,-18.358848571777344,0.019419819116592407,0.02293548919260502,0.003021962009370327,0.01715896651148796,0.0022608519066125154,ID-Easy 20 ns
36,0.6293691992759705,0.7933279275894165,0.05137455835938454,-16.90399169921875,0.021989380940794945,0.08162864297628403,-16.90399169921875,0.0349387601017952,0.019546406343579292,0.002442974364385009,0.031057137995958328,0.003881623735651374,ID-Easy 20 ns
37,0.7214887142181396,0.8494049310684204,0.04547066614031792,-18.023956298828125,0.019579363986849785,0.0630233958363533,-18.023956298828125,0.027137449011206627,0.01753184013068676,0.0020475233905017376,0.024299534037709236,0.002837914740666747,ID-Easy 20 ns
38,0.9105758666992188,0.9542409777641296,0.05265551805496216,-18.400772094726562,0.02316208742558956,0.05782661586999893,-18.400772094726562,0.025436745956540108,0.020538773387670517,0.0026233133394271135,0.02255580760538578,0.0028809388168156147,ID-Easy 20 ns
39,1.5762807130813599,1.2555001974105835,0.10961269587278366,-17.59958839416504,0.027502596378326416,0.06953881680965424,-17.59958839416504,0.017447777092456818,0.024331267923116684,0.0031713275238871574,0.015435872599482536,0.0020119051914662123,ID-Easy 20 ns
40,0.646487832069397,0.8040446639060974,0.04014987871050835,-18.089265823364258,0.022706501185894012,0.06210462376475334,-18.089265823364258,0.03512285649776459,0.020138410851359367,0.0025680894032120705,0.031150486320257187,0.003972370643168688,ID-Easy 20 ns
41,1.682077407836914,1.2969492673873901,0.10401542484760284,-18.10854148864746,0.031842224299907684,0.06183747947216034,-18.10854148864746,0.01893029734492302,0.0278730820864439,0.003969142213463783,0.01657062955200672,0.0023596668615937233,ID-Easy 20 ns
42,0.9056804776191711,0.9516724348068237,0.04501523822546005,-19.055906295776367,0.021768849343061447,0.04970322549343109,-19.055906295776367,0.024035904556512833,0.019432557746767998,0.0023362908978015184,0.02145630680024624,0.0025795972906053066,ID-Easy 20 ns
43,0.7894662022590637,0.8885191082954407,0.06045927107334137,-17.17809295654297,0.023155521601438522,0.07658247649669647,-17.17809295654297,0.029330605641007423,0.020516034215688705,0.0026394871529191732,0.02598722279071808,0.003343382151797414,ID-Easy 20 ns
44,0.7723915576934814,0.8788580894470215,0.051030050963163376,-17.822208404541016,0.023650605231523514,0.06606759130954742,-17.82221031188965,0.030619969591498375,0.020865416154265404,0.0027851900085806847,0.02701403945684433,0.003605930134654045,ID-Easy 20 ns
45,0.8595621585845947,0.9271257519721985,0.0552358441054821,-17.94037437438965,0.022518949583172798,0.06426043808460236,-17.94037437438965,0.026198163628578186,0.0200174693018198,0.002501480281352997,0.023287983611226082,0.002910179551690817,ID-Easy 20 ns
46,0.37169402837753296,0.6096671223640442,0.033242542296648026,-16.507863998413086,0.019055139273405075,0.08943524211645126,-16.507863998413086,0.0512656606733799,0.016963962465524673,0.002091177273541689,0.04563958942890167,0.005626071710139513,ID-Easy 20 ns
47,1.1501305103302002,1.0724413394927979,0.06923189014196396,-18.224369049072266,0.027640877291560173,0.06019481644034386,-18.224369049072266,0.024032816290855408,0.02446906641125679,0.0031718104146420956,0.021275034174323082,0.0027577830478549004,ID-Easy 20 ns
48,0.9451629519462585,0.9721949100494385,0.0585801936686039,-18.097618103027344,0.019885607063770294,0.061978936195373535,-18.097618103027344,0.021039342507719994,0.01769554428756237,0.0021900623105466366,0.01872221566736698,0.0023171266075223684,ID-Easy 20 ns
49,1.496848225593567,1.2234574556350708,0.08552052080631256,-18.45229721069336,0.028264809399843216,0.05713373422622681,-18.45229721069336,0.018882881850004196,0.024947505444288254,0.003317303257063031,0.01666668988764286,0.0022161921951919794,ID-Easy 20 ns
50,0.8045619130134583,0.896973729133606,0.03945612162351608,-19.11444091796875,0.023965205997228622,0.049040500074625015,-19.11444091796875,0.02978665381669998,0.021303074434399605,0.0026621317956596613,0.026477856561541557,0.003308796789497137,ID-Easy 20 ns
51,0.6619294881820679,0.8135904669761658,0.05178733542561531,-17.089981079101562,0.023185888305306435,0.07823694497346878,-17.089981079101562,0.03502773120999336,0.020611343905329704,0.0025745441671460867,0.031138276681303978,0.0038894538301974535,ID-Easy 20 ns
52,1.0451972484588623,1.0223488807678223,0.05596546456217766,-18.73428726196289,0.024336697533726692,0.05354536324739456,-18.73428726196289,0.0232843104749918,0.021586891263723373,0.002749806037172675,0.020653413608670235,0.00263089663349092,ID-Easy 20 ns
53,0.5631517171859741,0.7504343390464783,0.0427267923951149,-17.219703674316406,0.02230108715593815,0.07587083429098129,-17.219703674316406,0.039600495249032974,0.019761567935347557,0.0025395189877599478,0.03509102016687393,0.00450947554782033,ID-Easy 20 ns
54,0.8337419033050537,0.913094699382782,0.06113196164369583,-17.36868667602539,0.019342267885804176,0.07332240045070648,-17.36868667602539,0.02319934591650963,0.01722130738198757,0.0021209598053246737,0.020655442029237747,0.002543904585763812,ID-Easy 20 ns
55,0.5934394598007202,0.7703502178192139,0.043131157755851746,-17.406742095947266,0.019601523876190186,0.07267996668815613,-17.406742095947266,0.03303036838769913,0.01742503046989441,0.0021764941047877073,0.02936277724802494,0.0036675925366580486,ID-Easy 20 ns
56,1.257561445236206,1.1214104890823364,0.0811207965016365,-17.924192428588867,0.02767099440097809,0.0645064264535904,-17.924192428588867,0.022003691643476486,0.024486826732754707,0.0031841681338846684,0.019471673294901848,0.002532017882913351,ID-Easy 20 ns
57,0.7537163496017456,0.8681684136390686,0.05966997891664505,-17.035810470581055,0.023433908820152283,0.0791676864027977,-17.035810470581055,0.031091151759028435,0.02077886275947094,0.002655046759173274,0.027568545192480087,0.0035226072650402784,ID-Easy 20 ns
58,1.594334602355957,1.2626696825027466,0.1156419888138771,-17.415142059326172,0.03197917714715004,0.07253307849168777,-17.415142059326172,0.020058007910847664,0.028054676949977875,0.003924498800188303,0.017596479505300522,0.002461527707055211,ID-Easy 20 ns
59,1.1375799179077148,1.0665738582611084,0.06601627916097641,-18.38383674621582,0.02398386411368847,0.05803221836686134,-18.38383674621582,0.02108323574066162,0.021242909133434296,0.0027409547474235296,0.018673773854970932,0.002409461187198758,ID-Easy 20 ns
60,0.8667618036270142,0.9310004115104675,0.06147611141204834,-17.513582229614258,0.023395400494337082,0.07092618942260742,-17.513582229614258,0.02699173055589199,0.02080998569726944,0.0025854152627289295,0.024008886888623238,0.0029828441329300404,ID-Easy 20 ns
61,1.0701313018798828,1.0344715118408203,0.06258997321128845,-18.350345611572266,0.02350310981273651,0.05848812684416771,-18.350345611572266,0.021962827071547508,0.020893407985568047,0.0026097013615071774,0.01952415332198143,0.002438673982396722,ID-Easy 20 ns
62,0.3894616365432739,0.6240686178207397,0.033834002912044525,-16.633251190185547,0.01861739717423916,0.08687377721071243,-16.633251190185547,0.04780290648341179,0.01659003086388111,0.0020273670088499784,0.042597342282533646,0.005205562803894281,ID-Easy 20 ns
63,1.6081467866897583,1.2681273221969604,0.10724355280399323,-17.780595779418945,0.022516682744026184,0.06668766587972641,-17.780595779418945,0.014001634903252125,0.019973210990428925,0.002543472684919834,0.012420017272233963,0.0015816172817721963,ID-Easy 20 ns
64,0.838918924331665,0.915925145149231,0.05264878645539284,-18.045841217041016,0.022393040359020233,0.06275790184736252,-18.045841217041016,0.02669273503124714,0.019853848963975906,0.0025391916278749704,0.02366599254310131,0.0030267424881458282,ID-Easy 20 ns
65,1.6855735778808594,1.2982964515686035,0.10647560656070709,-18.015857696533203,0.033243611454963684,0.06316876411437988,-18.015857696533203,0.019722431898117065,0.02902805805206299,0.004215554799884558,0.017221471294760704,0.002500961534678936,ID-Easy 20 ns
66,0.7051317691802979,0.8397212624549866,0.05056052282452583,-17.46686553955078,0.01979864202439785,0.07170365005731583,-17.46686553955078,0.028077930212020874,0.017622793093323708,0.0021758482325822115,0.0249921977519989,0.0030857326928526163,ID-Easy 20 ns
67,0.9752064347267151,0.9875254034996033,0.05680947005748749,-18.36785888671875,0.020074889063835144,0.05825378745794296,-18.36785888671875,0.02058527246117592,0.017948541790246964,0.0021263479720801115,0.01840486377477646,0.002180407987907529,ID-Easy 20 ns
68,0.828784167766571,0.9103758335113525,0.052868302911520004,-17.972261428833008,0.019634004682302475,0.06379019469022751,-17.972261428833008,0.023690130561590195,0.01751558855175972,0.0021184163633733988,0.02113407664000988,0.0025560532230883837,ID-Easy 20 ns
69,1.030606746673584,1.0151879787445068,0.06175446882843971,-18.244346618652344,0.02288440428674221,0.059920500963926315,-18.244346618652344,0.022204788401722908,0.020470311865210533,0.0024140924215316772,0.01986238919198513,0.0023423992097377777,ID-Easy 20 ns
