delay_ns,scope,scope_ordinal,regime,ng,metric,mean,median,q90,q95,q99,finite
110,full,4,id80,32,aleatoric,0.08405719211697578,0.08316588029265404,0.09290735796093941,0.09541108645498753,0.10436231158673763,True
110,full,4,far1ms,4,nmse_omitted_db,0.2657506175916642,0.2502542734146118,0.4186858981847763,0.4675149485468864,0.6038656979799271,True
110,full,4,far1ms,4,epistemic,0.006340062261908315,0.004688751185312867,0.009529689047485594,0.013744185725226997,0.036362417824566305,True
110,full,4,far1ms,4,aleatoric,0.018012438775040208,0.017793072387576103,0.020250939577817918,0.021062608808279037,0.02351609274744987,True
110,full,4,far1ms,8,nmse_omitted_db,0.5892940490394831,0.5765323638916016,0.8481813549995423,0.9126255005598067,1.0904101943969724,True
110,full,4,far1ms,8,epistemic,0.021494588794885205,0.012447283137589693,0.03482832126319409,0.05163016449660058,0.1492615075409412,True
110,full,4,far1ms,8,aleatoric,0.03889602775126696,0.038201844319701195,0.045268893241882324,0.04714212063699961,0.0532037266343832,True
110,full,4,far1ms,16,nmse_omitted_db,1.8778601969480515,1.8764431476593018,2.1153937339782716,2.1690479636192324,2.284403500556946,True
110,full,4,far1ms,16,epistemic,804.3289485242647,6.496970176696777,379.2332885742188,1250.431530761718,9975.625410156248,True
110,full,4,far1ms,16,aleatoric,0.12143148417398333,0.11092337965965271,0.1701172545552254,0.20507695823907846,0.2849705749750137,True
110,full,4,far1ms,32,nmse_omitted_db,2.076968534231186,2.066512107849121,2.3348962306976317,2.4164844393730163,2.56436576128006,True
110,full,4,far1ms,32,epistemic,4363.670578859501,51.79835891723633,2336.8996582031255,6809.854003906247,82002.586875,True
110,full,4,far1ms,32,aleatoric,0.2343981948196888,0.20036358386278152,0.34331557452678685,0.428514876961708,0.720234088897705,True
120,partial_small,1,target,4,nmse_omitted_db,-23.289578077316285,-23.292654991149902,-22.703694534301757,-22.53360710144043,-22.24544891357422,True
120,partial_small,1,target,4,epistemic,0.0034511591746704652,0.0031796174589544535,0.004928406747058034,0.005635419231839477,0.00826583582907915,True
120,partial_small,1,target,4,aleatoric,0.017790639599785208,0.017644847743213177,0.01993024107068777,0.020738624781370164,0.02246593376621604,True
120,partial_small,1,target,8,nmse_omitted_db,-20.83774290084839,-20.8333797454834,-20.270664596557616,-20.11137447357178,-19.781867141723634,True
120,partial_small,1,target,8,epistemic,0.0047825568453408775,0.004475258057937026,0.006438405159860851,0.007207906688563526,0.009987216489389538,True
120,partial_small,1,target,8,aleatoric,0.028538817178457975,0.028286256827414036,0.03158581294119358,0.03255410436540842,0.035035359561443324,True
120,partial_small,1,target,16,nmse_omitted_db,-18.148044874191285,-18.15438938140869,-17.504435348510743,-17.318170928955077,-16.99300792694092,True
120,partial_small,1,target,16,epistemic,0.00806562293577008,0.007543607149273157,0.010995558928698303,0.012437892146408556,0.017558013927191495,True
120,partial_small,1,target,16,aleatoric,0.04460013288259506,0.044234903529286385,0.04911481440067291,0.05075560007244349,0.054307386577129364,True
120,partial_small,1,target,32,nmse_omitted_db,-15.091640499114991,-15.115740776062012,-14.24149465560913,-14.049861526489257,-13.61622797012329,True
120,partial_small,1,target,32,epistemic,0.04416179675515741,0.032583631575107574,0.07475310117006302,0.10082491151988494,0.2074215672910213,True
120,partial_small,1,target,32,aleatoric,0.08522643056511879,0.08397472649812698,0.09555185064673424,0.09939354397356509,0.1088859387487173,True
